State,county_name,lat,lng,Percent_Republican,Percent_Democrat,Difference,Never,Rarely,Sometimes,Frequently,Always,Never_Rarely,Frequently_Always,Majority,White,Black,UnemploymentRate,Med_Household_Income,LessHS,HSGrad,Bachelors,GradProfDegree
Illinois,De Witt County,40.1746,-88.9041,0.7,0.27,0.43,0.035,0.106,0.073,0.28,0.507,0.14100000000000001,0.787,Republican,0.96,0.01,0.0307,55587,0.08,0.38,0.16,0.05
Minnesota,Jackson County,43.6741,-95.154,0.68,0.3,0.38,0.325,0.024,0.14,0.171,0.34,0.34900000000000003,0.511,Republican,0.94,0,0.0181,58727,0.07,0.33,0.18,0.04
Virginia,Cumberland County,37.5121,-78.2449,0.57,0.42,0.15,0.012,0.055,0.098,0.137,0.699,0.067,0.836,Republican,0.63,0.3,0.029,47469,0.16,0.38,0.07,0.08
Montana,Granite County,46.4045,-113.4403,0.68,0.3,0.37,0.116,0.17,0.109,0.183,0.422,0.28600000000000003,0.605,Republican,0.96,0,0.015,49881,0.08,0.31,0.2,0.09
Nebraska,Wayne County,42.2093,-97.1193,0.72,0.24,0.48,0.245,0.12,0.155,0.141,0.34,0.365,0.481,Republican,0.95,0.01,0.0181,56456,0.04,0.28,0.22,0.1
Indiana,Delaware County,40.2275,-85.3969,0.56,0.42,0.13,0.095,0.109,0.124,0.197,0.475,0.20400000000000001,0.6719999999999999,Republican,0.88,0.07,0.0386,43512,0.1,0.35,0.13,0.1
Kentucky,Pulaski County,37.1039,-84.5773,0.81,0.18,0.63,0.13,0.123,0.096,0.164,0.487,0.253,0.651,Republican,0.96,0.01,0.0384,39998,0.17,0.36,0.09,0.07
Idaho,Twin Falls County,42.356,-114.6672,0.71,0.26,0.45,0.166,0.222,0.101,0.177,0.335,0.388,0.512,Republican,0.92,0.01,0.0215,52919,0.13,0.27,0.13,0.08
Nebraska,Douglas County,41.2953,-96.1543,0.43,0.54,-0.11,0.091,0.069,0.095,0.263,0.482,0.16,0.745,Democrat,0.79,0.11,0.028,64629,0.09,0.21,0.26,0.14
Kansas,Stevens County,37.1923,-101.3121,0.87,0.12,0.75,0.122,0.132,0.112,0.225,0.408,0.254,0.633,Republican,0.86,0.01,0.0364,57806,0.22,0.26,0.09,0.05
Virginia,Lancaster County,37.7345,-76.4632,0.52,0.47,0.05,0.001,0.022,0.121,0.178,0.678,0.023,0.8560000000000001,Republican,0.68,0.31,0.0195,53711,0.1,0.31,0.16,0.15
Nebraska,Loup County,41.9139,-99.4544,0.81,0.17,0.65,0.193,0.084,0.129,0.276,0.318,0.277,0.5940000000000001,Republican,1,0,0.0038,51000,0.02,0.29,0.2,0.05
Tennessee,Trousdale County,36.3921,-86.1568,0.73,0.25,0.48,0.112,0.063,0.241,0.133,0.452,0.175,0.585,Republican,0.85,0.1,0.0361,56321,0.16,0.38,0.09,0.04
Missouri,Scotland County,40.4526,-92.1471,0.79,0.2,0.59,0.073,0.112,0.209,0.246,0.361,0.185,0.607,Republican,0.99,0,0.0207,50085,0.2,0.42,0.1,0.04
Georgia,Walker County,34.7356,-85.301,0.79,0.2,0.59,0.144,0.164,0.117,0.21,0.366,0.308,0.576,Republican,0.92,0.04,0.0335,46157,0.18,0.35,0.11,0.06
South Dakota,Pennington County,44.0037,-102.8238,0.61,0.36,0.25,0.127,0.078,0.159,0.222,0.414,0.20500000000000002,0.636,Republican,0.83,0.01,0.0293,57039,0.06,0.28,0.21,0.11
Michigan,Otsego County,45.0214,-84.599,0.66,0.32,0.34,0.06,0.068,0.097,0.172,0.602,0.128,0.774,Republican,0.96,0.01,0.0331,54332,0.08,0.33,0.15,0.08
California,Solano County,38.27,-121.9329,0.34,0.64,-0.3,0.043,0.046,0.035,0.148,0.728,0.089,0.876,Democrat,0.53,0.14,0.0373,81472,0.12,0.24,0.19,0.08
Iowa,Louisa County,41.2185,-91.2596,0.66,0.32,0.33,0.097,0.058,0.15,0.214,0.482,0.155,0.696,Republican,0.9,0.01,0.0314,56673,0.16,0.38,0.11,0.04
Missouri,DeKalb County,39.8932,-94.4047,0.79,0.19,0.6,0.144,0.133,0.159,0.241,0.323,0.277,0.5640000000000001,Republican,0.86,0.09,0.0092,55918,0.13,0.47,0.1,0.04
Texas,Midland County,31.8691,-102.0316,0.78,0.21,0.57,0.083,0.044,0.066,0.219,0.588,0.127,0.8069999999999999,Republican,0.82,0.07,0.0231,79421,0.15,0.26,0.2,0.08
South Dakota,Codington County,44.9779,-97.1886,0.68,0.29,0.39,0.185,0.144,0.25,0.117,0.305,0.32899999999999996,0.422,Republican,0.94,0.01,0.0151,56376,0.08,0.36,0.16,0.05
Ohio,Erie County,41.3632,-82.6192,0.55,0.43,0.12,0.078,0.022,0.091,0.179,0.63,0.1,0.8089999999999999,Republican,0.85,0.09,0.0306,54226,0.08,0.37,0.15,0.09
West Virginia,Roane County,38.714,-81.3483,0.73,0.25,0.48,0.082,0.024,0.191,0.21,0.493,0.10600000000000001,0.703,Republican,0.98,0,0.0375,37373,0.21,0.44,0.08,0.05
Wisconsin,Sawyer County,45.88,-91.1445,0.56,0.43,0.13,0.058,0.126,0.133,0.256,0.427,0.184,0.683,Republican,0.77,0,0.0329,47714,0.08,0.34,0.15,0.09
Colorado,Cheyenne County,38.828,-102.6035,0.87,0.12,0.76,0.016,0.187,0.106,0.398,0.292,0.203,0.69,Republican,0.93,0,0.0461,53977,0.08,0.37,0.17,0.02
Kansas,Morris County,38.6874,-96.6499,0.73,0.25,0.48,0.11,0.094,0.148,0.244,0.404,0.20400000000000001,0.648,Republican,0.96,0,0.0149,55658,0.09,0.36,0.15,0.06
New York,Chautauqua County,42.2282,-79.3663,0.59,0.39,0.2,0.029,0.024,0.038,0.206,0.703,0.053000000000000005,0.9089999999999999,Republican,0.92,0.03,0.0343,46820,0.11,0.35,0.13,0.1
California,Alpine County,38.5972,-119.8207,0.33,0.64,-0.31,0.025,0.085,0.088,0.19,0.612,0.11000000000000001,0.802,Democrat,0.58,0.01,0.0574,63750,0.09,0.28,0.21,0.13
Georgia,Cook County,31.154,-83.4305,0.7,0.29,0.4,0.098,0.134,0.123,0.203,0.441,0.232,0.644,Republican,0.69,0.27,0.032,41854,0.21,0.36,0.08,0.05
Mississippi,Simpson County,31.9132,-89.9195,0.65,0.34,0.3,0.081,0.124,0.149,0.154,0.491,0.20500000000000002,0.645,Republican,0.62,0.37,0.0411,43850,0.2,0.3,0.12,0.04
Texas,Montgomery County,30.3002,-95.503,0.71,0.27,0.44,0.031,0.073,0.061,0.145,0.69,0.104,0.835,Republican,0.86,0.05,0.0276,80902,0.12,0.23,0.23,0.12
Virginia,Brunswick County,36.7648,-77.859,0.42,0.57,-0.15,0.006,0.003,0.158,0.145,0.688,0.009000000000000001,0.833,Democrat,0.42,0.54,0.0453,44434,0.21,0.36,0.08,0.05
South Carolina,Spartanburg County,34.9312,-81.9908,0.63,0.36,0.27,0.06,0.091,0.126,0.227,0.496,0.151,0.723,Republican,0.73,0.2,0.0341,52332,0.14,0.29,0.16,0.09
Illinois,Marshall County,41.0332,-89.3448,0.66,0.32,0.35,0.048,0.083,0.133,0.198,0.538,0.131,0.736,Republican,0.97,0,0.0325,58465,0.07,0.39,0.15,0.04
Indiana,Clark County,38.4772,-85.7073,0.58,0.4,0.18,0.068,0.06,0.141,0.228,0.501,0.128,0.729,Republican,0.88,0.07,0.0321,55630,0.11,0.35,0.14,0.07
Ohio,Brown County,38.934,-83.8674,0.78,0.21,0.57,0.177,0.177,0.101,0.128,0.417,0.354,0.5449999999999999,Republican,0.97,0.01,0.029,54575,0.12,0.46,0.1,0.05
North Carolina,Perquimans County,36.2058,-76.4411,0.66,0.33,0.32,0.036,0.014,0.154,0.299,0.498,0.049999999999999996,0.7969999999999999,Republican,0.74,0.24,0.0356,47162,0.13,0.29,0.13,0.07
Illinois,Iroquois County,40.7473,-87.8243,0.77,0.21,0.57,0.097,0.168,0.069,0.242,0.424,0.265,0.6659999999999999,Republican,0.93,0.01,0.0299,52700,0.11,0.4,0.11,0.05
Texas,Hunt County,33.1236,-96.0855,0.76,0.23,0.53,0.069,0.072,0.082,0.285,0.492,0.14100000000000001,0.7769999999999999,Republican,0.8,0.08,0.0298,54959,0.15,0.34,0.13,0.07
Iowa,Lee County,40.642,-91.4793,0.58,0.39,0.19,0.17,0.146,0.131,0.161,0.392,0.316,0.553,Republican,0.94,0.03,0.0421,49564,0.07,0.41,0.12,0.04
